,vessel_ID,image_ID,labels
0,18688,15819,6
1,17496,13961,3
2,17334,13780,0
3,19762,18235,6
4,28755,40646,5
5,22232,22841,2
6,15947,10852,6
7,27761,39680,5
8,19300,17680,2
9,20289,16451,0
10,21240,20500,3
11,24493,28098,4
12,24044,26905,5
13,24584,28576,3
14,21639,21074,4
15,20340,16572,3
16,25975,33175,4
17,18611,15742,6
18,19230,16764,6
19,22604,23981,3
20,17641,14203,6
21,20098,18572,6
22,19018,16167,0
23,18430,15550,6
24,18283,15389,6
25,18365,15476,6
26,17484,13952,0
27,23638,26140,2
28,25790,32533,6
29,28626,40203,0
30,25172,30228,2
31,22432,23299,4
32,17989,14720,0
33,21631,21058,2
34,19055,15535,4
35,26484,33588,3
36,23567,26017,1
37,18516,15640,6
38,25181,30268,5
39,28160,37936,5
40,18420,15540,6
41,18797,15935,6
42,19793,18267,0
43,16894,12817,3
44,24653,28742,5
45,26142,33004,4
46,17919,14627,0
47,16627,12344,0
48,24380,27711,2
49,24240,27370,0
50,25903,32908,3
51,19264,16899,6
52,26295,33263,4
53,16534,12193,2
54,27562,39799,2
55,22828,24808,1
56,419,505,2
57,24493,28097,5
58,18250,15357,0
59,28205,38331,5
60,26833,34001,3
61,850,10676,4
62,19619,18090,5
63,139,150,4
64,25913,32899,3
65,16582,12272,1
66,20247,18728,6
67,710,1083,3
68,18348,15458,6
69,19891,18343,0
70,26329,33228,3
71,17613,14175,5
72,22591,23968,4
73,18624,15756,6
74,26473,33599,2
75,22850,24843,5
76,17260,13428,2
77,28287,38726,1
78,18226,15333,6
79,23243,25457,3
80,19352,17734,0
81,13811,39875,2
82,26281,33277,3
83,26223,33335,3
84,17191,13303,1
85,27223,35138,0
86,1243,1858,4
87,28337,39090,5
88,23950,26767,6
89,1159,1860,4
90,24482,28072,5
91,26491,33581,4
92,18502,15625,6
93,22545,23627,5
94,19327,17708,6
95,17762,14362,0
96,19156,16641,6
97,20398,16730,4
98,23983,26813,6
99,24175,27200,3
100,22732,24440,2
101,22431,23297,3
102,19620,18091,6
103,22590,23967,3
104,22989,25000,2
105,21777,21241,1
106,19228,16762,0
107,818,1396,2
108,20761,19795,4
109,28775,40660,5
110,17392,13858,6
111,24193,27251,3
112,27030,34130,1
113,23664,26163,0
114,16542,12201,3
115,19386,17768,5
116,16281,11537,0
117,26021,33125,3
118,440,529,4
119,23169,25471,1
120,17338,13783,0
121,20034,18506,0
122,11812,25662,2
123,19767,18240,0
124,22647,24034,3
125,25759,32373,5
126,18441,15561,6
127,16628,12345,1
128,24223,27335,2
129,27093,34569,1
130,22283,22998,2
131,19987,18459,0
132,24486,28083,1
133,28209,38356,1
134,23301,25555,4
135,24004,26834,5
136,24917,29551,4
137,18425,15545,6
138,18585,15714,6
139,20500,19157,2
140,17150,13215,0
141,19285,17665,6
142,306,1163,5
143,20127,18601,6
144,19315,17695,5
145,24167,27180,0
146,26377,33647,4
147,15997,11048,0
148,17678,14278,2
149,24471,28049,1
150,811,1383,4
151,28585,40159,5
152,13162,10864,4
153,24036,26893,3
154,23550,25999,1
155,18749,15881,6
156,22464,23386,3
157,19474,17878,6
158,26819,34018,4
159,28133,37714,2
160,18405,15521,5
161,21910,21837,2
162,26321,33236,4
163,18413,15149,2
164,27071,34282,0
165,25426,31413,0
166,17403,13866,5
167,22091,22393,5
168,26606,33878,5
169,26787,34016,4
170,24233,27368,6
171,21566,20963,4
172,23011,25026,5
173,17755,14356,0
174,26320,33237,3
175,226,264,4
176,26848,33983,4
177,18268,15379,6
178,18335,15444,0
179,16227,15325,5
180,22099,22410,5
181,189,13318,1
182,26220,33338,4
183,453,556,1
184,25816,32891,3
185,18956,16100,6
186,16530,12189,0
187,27676,36168,4
188,17921,14629,6
189,22696,24186,3
190,25127,30116,4
191,25829,32882,2
192,18310,15416,6
193,19551,17954,0
194,27107,34584,1
195,18870,16011,6
196,18957,16101,6
197,18403,15519,0
198,26849,33982,4
199,22078,22364,5
200,21351,20618,3
201,22530,23566,4
202,28589,40163,2
203,19459,17863,5
204,22582,23959,4
205,18851,15992,0
206,24562,28458,5
207,27200,35127,2
208,20286,16447,1
209,20207,18688,6
210,15040,9091,3
211,20243,18724,6
212,22105,22442,4
213,18890,16031,6
214,25129,30118,4
215,19364,17746,0
