,vessel_ID,image_ID,labels
0,18688,15819,2
1,17496,13961,0
2,17334,13780,2
3,19762,18235,2
4,28755,40646,1
5,22232,22841,1
6,15947,10852,2
7,27761,39680,3
8,19300,17680,2
9,20289,16451,3
10,21240,20500,0
11,24493,28098,0
12,24044,26905,1
13,24584,28576,3
14,21639,21074,0
15,20340,16572,3
16,25975,33175,0
17,18611,15742,2
18,19230,16764,2
19,22604,23981,0
20,17641,14203,2
21,20098,18572,2
22,19018,16167,2
23,18430,15550,2
24,18283,15389,2
25,18365,15476,2
26,17484,13952,2
27,23638,26140,0
28,25790,32533,1
29,28626,40203,2
30,25172,30228,1
31,22432,23299,0
32,17989,14720,2
33,21631,21058,2
34,19055,15535,2
35,26484,33588,0
36,23567,26017,3
37,18516,15640,2
38,25181,30268,1
39,28160,37936,1
40,18420,15540,2
41,18797,15935,2
42,19793,18267,2
43,16894,12817,3
44,24653,28742,1
45,26142,33004,0
46,17919,14627,2
47,16627,12344,3
48,24380,27711,0
49,24240,27370,3
50,25903,32908,0
51,19264,16899,2
52,26295,33263,0
53,16534,12193,0
54,27562,39799,2
55,22828,24808,3
56,419,505,0
57,24493,28097,1
58,18250,15357,2
59,28205,38331,1
60,26833,34001,0
61,850,10676,0
62,19619,18090,2
63,139,150,0
64,25913,32899,0
65,16582,12272,3
66,20247,18728,2
67,710,1083,0
68,18348,15458,2
69,19891,18343,2
70,26329,33228,0
71,17613,14175,1
72,22591,23968,0
73,18624,15756,2
74,26473,33599,0
75,22850,24843,1
76,17260,13428,3
77,28287,38726,3
78,18226,15333,2
79,23243,25457,3
80,19352,17734,2
81,13811,39875,1
82,26281,33277,0
83,26223,33335,0
84,17191,13303,3
85,27223,35138,3
86,1243,1858,0
87,28337,39090,1
88,23950,26767,2
89,1159,1860,0
90,24482,28072,1
91,26491,33581,0
92,18502,15625,2
93,22545,23627,1
94,19327,17708,2
95,17762,14362,2
96,19156,16641,2
97,20398,16730,1
98,23983,26813,2
99,24175,27200,0
100,22732,24440,2
101,22431,23297,0
102,19620,18091,2
103,22590,23967,3
104,22989,25000,2
105,21777,21241,3
106,19228,16762,2
107,818,1396,1
108,20761,19795,0
109,28775,40660,1
110,17392,13858,2
111,24193,27251,0
112,27030,34130,3
113,23664,26163,3
114,16542,12201,3
115,19386,17768,1
116,16281,11537,2
117,26021,33125,0
118,440,529,0
119,23169,25471,3
120,17338,13783,2
121,20034,18506,2
122,11812,25662,0
123,19767,18240,2
124,22647,24034,0
125,25759,32373,1
126,18441,15561,2
127,16628,12345,3
128,24223,27335,1
129,27093,34569,3
130,22283,22998,1
131,19987,18459,2
132,24486,28083,3
133,28209,38356,3
134,23301,25555,0
135,24004,26834,1
136,24917,29551,0
137,18425,15545,2
138,18585,15714,2
139,20500,19157,3
140,17150,13215,2
141,19285,17665,1
142,306,1163,1
143,20127,18601,2
144,19315,17695,1
145,24167,27180,0
146,26377,33647,0
147,15997,11048,2
148,17678,14278,2
149,24471,28049,3
150,811,1383,0
151,28585,40159,3
152,13162,10864,0
153,24036,26893,3
154,23550,25999,3
155,18749,15881,2
156,22464,23386,0
157,19474,17878,2
158,26819,34018,0
159,28133,37714,1
160,18405,15521,1
161,21910,21837,0
162,26321,33236,0
163,18413,15149,1
164,27071,34282,2
165,25426,31413,2
166,17403,13866,1
167,22091,22393,1
168,26606,33878,1
169,26787,34016,0
170,24233,27368,2
171,21566,20963,0
172,23011,25026,1
173,17755,14356,2
174,26320,33237,0
175,226,264,0
176,26848,33983,0
177,18268,15379,2
178,18335,15444,2
179,16227,15325,1
180,22099,22410,1
181,189,13318,3
182,26220,33338,0
183,453,556,3
184,25816,32891,0
185,18956,16100,2
186,16530,12189,3
187,27676,36168,0
188,17921,14629,2
189,22696,24186,0
190,25127,30116,0
191,25829,32882,0
192,18310,15416,2
193,19551,17954,2
194,27107,34584,3
195,18870,16011,2
196,18957,16101,2
197,18403,15519,2
198,26849,33982,0
199,22078,22364,1
200,21351,20618,0
201,22530,23566,0
202,28589,40163,0
203,19459,17863,1
204,22582,23959,0
205,18851,15992,2
