,vessel_ID,image_ID,labels
0,18688,15819,1
1,17496,13961,2
2,17334,13780,1
3,19762,18235,1
4,28755,40646,2
5,22232,22841,2
6,15947,10852,1
7,27761,39680,0
8,19300,17680,1
9,20289,16451,0
10,21240,20500,2
11,24493,28098,2
12,24044,26905,0
13,24584,28576,0
14,21639,21074,2
15,20340,16572,2
16,25975,33175,2
17,18611,15742,1
18,19230,16764,1
19,22604,23981,2
20,17641,14203,1
21,20098,18572,1
22,19018,16167,1
23,18430,15550,1
24,18283,15389,1
25,18365,15476,1
26,17484,13952,1
27,23638,26140,2
28,25790,32533,1
29,28626,40203,1
30,25172,30228,1
31,22432,23299,2
32,17989,14720,1
33,21631,21058,1
34,19055,15535,1
35,26484,33588,2
36,23567,26017,0
37,18516,15640,1
38,25181,30268,2
39,28160,37936,1
40,18420,15540,1
41,18797,15935,1
42,19793,18267,1
43,16894,12817,0
44,24653,28742,1
45,26142,33004,2
46,17919,14627,1
47,16627,12344,1
48,24380,27711,2
49,24240,27370,0
50,25903,32908,2
51,19264,16899,1
52,26295,33263,2
53,16534,12193,2
54,27562,39799,1
55,22828,24808,0
56,419,505,2
57,24493,28097,0
58,18250,15357,1
59,28205,38331,0
60,26833,34001,2
61,850,10676,2
62,19619,18090,1
63,139,150,2
64,25913,32899,2
65,16582,12272,0
66,20247,18728,1
67,710,1083,2
68,18348,15458,1
69,19891,18343,1
70,26329,33228,2
71,17613,14175,0
72,22591,23968,2
73,18624,15756,1
74,26473,33599,2
75,22850,24843,0
76,17260,13428,0
77,28287,38726,0
78,18226,15333,1
79,23243,25457,2
80,19352,17734,1
81,13811,39875,1
82,26281,33277,2
83,26223,33335,2
84,17191,13303,0
85,27223,35138,0
86,1243,1858,2
87,28337,39090,0
88,23950,26767,1
89,1159,1860,2
90,24482,28072,0
91,26491,33581,2
92,18502,15625,1
93,22545,23627,2
94,19327,17708,1
95,17762,14362,1
96,19156,16641,1
97,20398,16730,2
98,23983,26813,1
99,24175,27200,2
100,22732,24440,1
101,22431,23297,2
102,19620,18091,1
103,22590,23967,2
104,22989,25000,1
105,21777,21241,0
106,19228,16762,1
107,818,1396,1
108,20761,19795,2
109,28775,40660,0
110,17392,13858,1
111,24193,27251,2
112,27030,34130,0
113,23664,26163,0
114,16542,12201,0
115,19386,17768,1
116,16281,11537,1
117,26021,33125,2
118,440,529,2
119,23169,25471,0
120,17338,13783,1
121,20034,18506,1
122,11812,25662,2
123,19767,18240,1
124,22647,24034,2
125,25759,32373,0
126,18441,15561,1
127,16628,12345,0
128,24223,27335,1
129,27093,34569,0
130,22283,22998,1
131,19987,18459,1
132,24486,28083,0
133,28209,38356,0
134,23301,25555,2
135,24004,26834,0
136,24917,29551,2
137,18425,15545,1
138,18585,15714,1
139,20500,19157,0
140,17150,13215,1
141,19285,17665,1
142,306,1163,0
143,20127,18601,1
144,19315,17695,1
145,24167,27180,2
146,26377,33647,2
147,15997,11048,1
148,17678,14278,1
149,24471,28049,0
150,811,1383,2
151,28585,40159,0
152,13162,10864,2
153,24036,26893,0
154,23550,25999,0
155,18749,15881,1
156,22464,23386,2
157,19474,17878,1
158,26819,34018,2
159,28133,37714,1
160,18405,15521,1
161,21910,21837,2
162,26321,33236,2
163,18413,15149,2
164,27071,34282,1
165,25426,31413,1
166,17403,13866,0
167,22091,22393,0
168,26606,33878,0
169,26787,34016,2
170,24233,27368,1
171,21566,20963,2
172,23011,25026,0
173,17755,14356,1
174,26320,33237,2
175,226,264,2
176,26848,33983,2
177,18268,15379,1
178,18335,15444,1
179,16227,15325,0
180,22099,22410,0
181,189,13318,0
182,26220,33338,2
183,453,556,0
184,25816,32891,2
185,18956,16100,1
186,16530,12189,2
187,27676,36168,2
188,17921,14629,1
189,22696,24186,2
190,25127,30116,2
191,25829,32882,2
192,18310,15416,1
193,19551,17954,1
194,27107,34584,0
195,18870,16011,1
196,18957,16101,1
197,18403,15519,1
198,26849,33982,2
199,22078,22364,1
200,21351,20618,2
201,22530,23566,2
202,28589,40163,2
203,19459,17863,0
204,22582,23959,2
205,18851,15992,1
206,24562,28458,0
207,27200,35127,2
208,20286,16447,0
209,20207,18688,1
210,15040,9091,2
211,20243,18724,1
212,22105,22442,2
213,18890,16031,1
214,25129,30118,2
215,19364,17746,1
216,17730,14333,0
217,17708,14313,1
218,16900,12822,2
219,23047,25097,2
220,21789,21383,0
221,24555,28409,2
222,437,526,0
223,464,579,2
224,27095,34815,0
225,24172,27191,2
226,300,358,0
227,27210,35062,0
228,19511,17914,1
229,23380,25690,0
230,23311,25569,0
231,27350,35378,2
232,20879,20028,0
233,18208,14958,1
234,19544,17947,1
235,14896,8638,2
236,26179,33379,2
237,23496,25926,2
238,17780,14378,1
239,28614,40189,1
240,26492,33580,2
241,25995,33152,2
242,19397,17779,1
243,16886,12808,2
244,28541,40115,0
245,28331,39055,2
246,20554,19453,2
247,18300,15406,1
248,21331,20595,2
249,18370,15481,1
250,21404,20701,1
251,19293,17673,1
252,18754,15887,1
253,19082,15969,1
254,19921,18373,1
255,22259,22926,2
256,24392,27726,2
257,20620,19579,0
258,18443,15563,1
259,26116,33030,2
260,335,12246,0
261,25878,32933,2
262,24859,29402,0
263,28286,38724,0
264,17606,14168,1
265,28545,40129,1
266,18968,16113,1
267,16330,11603,2
268,1069,10658,2
269,26593,33891,0
270,23142,25259,0
271,17230,13382,0
272,26049,33097,2
273,17363,13809,1
274,694,1026,0
275,26074,33072,2
276,26114,33032,2
277,24697,28878,0
278,23291,25541,0
279,20150,18624,1
280,19791,18265,1
281,20765,19799,2
282,19838,18290,1
283,25194,30332,2
284,22925,24936,1
285,17961,14696,1
286,16879,12804,1
287,19050,15461,0
288,24404,27838,0
289,1216,9965,2
290,22603,23980,2
291,23987,26817,1
292,28127,37690,1
293,21753,21186,0
294,680,1010,2
295,18500,15623,1
296,21413,20714,1
